                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.876,                 1.7422,                 1.8062,                0.66347,                0.50382,                0.58353,                0.28538,                 1.7668,                 1.5567,                 1.8649,              0.0013966,              0.0013966,              0.0013966
                     35,                 1.8538,                 1.7024,                 1.7942,                0.65184,                0.53758,                0.59452,                0.29312,                 1.7898,                 1.4953,                 1.8785,              0.0013777,              0.0013777,              0.0013777
                     36,                 1.8311,                 1.6983,                 1.7991,                0.63096,                0.53822,                0.58388,                0.28478,                 1.7793,                 1.5635,                 1.8807,              0.0013589,              0.0013589,              0.0013589
                     37,                  1.847,                 1.6425,                  1.736,                0.63575,                0.50916,                0.57215,                0.28729,                 1.7512,                 1.6245,                  1.822,                0.00134,                0.00134,                0.00134
                     38,                 1.8288,                 1.6624,                  1.753,                0.64319,                0.48222,                0.56712,                0.27456,                 1.7777,                 1.5636,                 1.8382,              0.0013211,              0.0013211,              0.0013211
                     39,                 1.8479,                 1.6518,                 1.7548,                0.64873,                0.55287,                0.61054,                0.31728,                  1.725,                 1.4848,                  1.824,              0.0013023,              0.0013023,              0.0013023
                     40,                   1.81,                 1.6319,                 1.7387,                0.70732,                0.53105,                 0.6118,                0.31887,                 1.7384,                 1.5196,                 1.8145,              0.0012834,              0.0012834,              0.0012834
                     41,                 1.7926,                 1.6121,                 1.7239,                0.68515,                0.56178,                0.63875,                0.34274,                 1.6711,                 1.4255,                  1.765,              0.0012646,              0.0012646,              0.0012646
                     42,                 1.8044,                 1.6157,                 1.7253,                0.69231,                0.56115,                0.62851,                0.32602,                 1.7079,                 1.4366,                 1.7722,              0.0012457,              0.0012457,              0.0012457
                     43,                 1.7938,                 1.6172,                 1.7259,                0.66881,                0.53822,                0.61815,                0.32723,                 1.7049,                 1.4259,                 1.8138,              0.0012269,              0.0012269,              0.0012269
                     44,                 1.7952,                 1.5892,                 1.7278,                0.68587,                0.52994,                0.61933,                0.32703,                 1.6984,                 1.4359,                 1.7857,               0.001208,               0.001208,               0.001208
                     45,                 1.7819,                 1.5622,                 1.7099,                 0.7033,                0.60064,                0.68044,                 0.3553,                 1.6887,                 1.3437,                  1.772,              0.0011891,              0.0011891,              0.0011891
                     46,                 1.7459,                 1.5377,                 1.7187,                0.71162,                0.59883,                0.66763,                0.35148,                  1.677,                 1.3369,                 1.7654,              0.0011703,              0.0011703,              0.0011703
                     47,                 1.7695,                 1.5245,                 1.7055,                0.69822,                0.57707,                0.65732,                0.34451,                 1.6978,                 1.3883,                 1.7755,              0.0011514,              0.0011514,              0.0011514
                     48,                 1.7627,                 1.5354,                 1.7036,                0.70219,                 0.5887,                0.67288,                0.35432,                 1.6656,                 1.3404,                  1.776,              0.0011326,              0.0011326,              0.0011326
                     49,                 1.7571,                 1.5187,                  1.689,                0.74009,                0.56688,                0.65908,                0.35186,                  1.662,                 1.3567,                 1.7451,              0.0011137,              0.0011137,              0.0011137
                     50,                 1.7744,                 1.5288,                 1.7047,                0.73215,                0.57452,                0.66765,                0.34751,                 1.6712,                 1.3728,                 1.7627,              0.0010949,              0.0010949,              0.0010949
                     51,                 1.7401,                  1.495,                 1.6775,                 0.7556,                 0.5293,                0.62986,                0.33434,                 1.6798,                 1.3956,                 1.7628,               0.001076,               0.001076,               0.001076
                     52,                 1.7106,                 1.4959,                 1.6822,                0.68383,                0.60753,                0.68297,                0.36913,                 1.6303,                 1.3088,                 1.7335,              0.0010571,              0.0010571,              0.0010571
                     53,                 1.7278,                 1.4927,                 1.6839,                0.70735,                0.58662,                0.66914,                0.35944,                 1.6312,                 1.3176,                 1.7308,              0.0010383,              0.0010383,              0.0010383
                     54,                 1.7231,                  1.458,                 1.6708,                0.74076,                0.57511,                0.66988,                0.34601,                 1.6915,                 1.3521,                   1.76,              0.0010194,              0.0010194,              0.0010194
                     55,                 1.7144,                 1.4622,                 1.6682,                0.75548,                0.58471,                0.68456,                0.36319,                 1.6579,                  1.296,                 1.7334,              0.0010006,              0.0010006,              0.0010006
                     56,                 1.7082,                 1.4588,                  1.656,                0.76053,                 0.5949,                0.69466,                0.36453,                 1.6464,                 1.3181,                 1.7305,             0.00098171,             0.00098171,             0.00098171
                     57,                  1.709,                 1.4335,                 1.6476,                0.76069,                0.58408,                0.68522,                0.36067,                 1.6362,                 1.3078,                 1.7214,             0.00096286,             0.00096286,             0.00096286
                     58,                 1.7019,                  1.435,                 1.6499,                0.78134,                0.56624,                0.68665,                0.36849,                 1.6233,                 1.2854,                 1.7229,               0.000944,               0.000944,               0.000944
                     59,                 1.6861,                 1.4321,                 1.6541,                0.72434,                0.62931,                0.70295,                 0.3728,                 1.6165,                 1.2634,                    1.7,             0.00092514,             0.00092514,             0.00092514
                     60,                 1.7025,                 1.4261,                 1.6342,                0.74919,                 0.5879,                0.68532,                0.36907,                 1.6442,                 1.2893,                 1.7252,             0.00090629,             0.00090629,             0.00090629
                     61,                 1.6846,                 1.4027,                 1.6329,                0.77158,                0.60672,                0.69869,                0.38098,                 1.5868,                 1.2312,                 1.6805,             0.00088743,             0.00088743,             0.00088743
                     62,                 1.6827,                 1.3898,                 1.6331,                0.72537,                0.62751,                0.70117,                0.38574,                 1.6033,                 1.2153,                 1.7014,             0.00086857,             0.00086857,             0.00086857
                     63,                 1.6987,                 1.4018,                 1.6466,                0.77604,                0.59236,                0.69335,                0.36981,                 1.6238,                 1.2791,                  1.708,             0.00084971,             0.00084971,             0.00084971
                     64,                 1.6707,                 1.3916,                  1.616,                0.77543,                0.60828,                  0.715,                0.38417,                 1.6204,                 1.2096,                 1.6993,             0.00083086,             0.00083086,             0.00083086
                     65,                 1.6593,                 1.3502,                 1.6053,                0.76488,                0.59682,                0.70442,                 0.3667,                 1.6694,                 1.2613,                 1.7291,               0.000812,               0.000812,               0.000812
                     66,                 1.6614,                 1.3414,                 1.6106,                0.75159,                0.61465,                0.69795,                0.38129,                 1.6029,                 1.2591,                 1.6863,             0.00079314,             0.00079314,             0.00079314
                     67,                 1.6696,                 1.3649,                 1.6111,                0.78339,                0.62357,                0.71934,                0.38359,                 1.6065,                 1.2134,                 1.6886,             0.00077429,             0.00077429,             0.00077429
                     68,                 1.6595,                 1.3655,                 1.6108,                0.74328,                0.64915,                0.72529,                0.39702,                 1.5728,                  1.196,                 1.6658,             0.00075543,             0.00075543,             0.00075543
                     69,                 1.6475,                 1.3131,                 1.5983,                0.76716,                0.62539,                0.72058,                0.38496,                 1.5889,                 1.2027,                 1.6742,             0.00073657,             0.00073657,             0.00073657
                     70,                 1.6391,                 1.2998,                 1.5956,                0.76314,                0.62293,                0.70785,                0.38979,                 1.6086,                 1.2283,                 1.6855,             0.00071771,             0.00071771,             0.00071771
                     71,                 1.6152,                 1.3143,                 1.5898,                0.78559,                0.63057,                0.73363,                0.39563,                 1.5714,                 1.1682,                  1.663,             0.00069886,             0.00069886,             0.00069886
                     72,                 1.6301,                 1.3146,                 1.5895,                0.77688,                0.63651,                0.72925,                0.39993,                 1.5772,                 1.1663,                 1.6698,                0.00068,                0.00068,                0.00068
                     73,                 1.6268,                 1.3033,                   1.59,                 0.7861,                0.61019,                 0.6992,                0.37994,                 1.6153,                 1.2268,                 1.6842,             0.00066114,             0.00066114,             0.00066114
                     74,                 1.5995,                 1.2884,                 1.5862,                0.76181,                0.65987,                0.73643,                0.40244,                 1.5726,                 1.1485,                 1.6581,             0.00064229,             0.00064229,             0.00064229
                     75,                 1.6002,                 1.2744,                 1.5753,                0.80078,                0.61847,                0.72067,                0.40251,                 1.5658,                 1.1659,                 1.6656,             0.00062343,             0.00062343,             0.00062343
                     76,                 1.6095,                 1.2946,                 1.5811,                 0.7963,                0.63057,                0.73117,                 0.4006,                 1.5747,                 1.1557,                 1.6622,             0.00060457,             0.00060457,             0.00060457
                     77,                 1.5703,                 1.2478,                 1.5818,                0.79952,                0.62233,                0.72444,                0.39468,                 1.5961,                 1.1578,                 1.6725,             0.00058571,             0.00058571,             0.00058571
                     78,                  1.622,                 1.2733,                  1.557,                0.80702,                0.62611,                 0.7302,                0.39927,                 1.5764,                 1.1533,                 1.6636,             0.00056686,             0.00056686,             0.00056686
                     79,                 1.6016,                 1.2729,                 1.5773,                0.80728,                0.61975,                0.72556,                 0.4012,                 1.5729,                 1.1563,                 1.6477,               0.000548,               0.000548,               0.000548
