                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1385,                 2.6118,                 2.6788,                0.32146,                0.34602,                0.23563,                0.08057,                 2.3058,                 2.6484,                 2.8573,               0.001406,               0.001406,               0.001406
                     36,                 2.1725,                 2.5193,                 2.6832,                0.24272,                0.29213,                0.19468,                  0.062,                 2.3439,                 2.7209,                 2.8875,               0.001388,               0.001388,               0.001388
                     37,                 2.1517,                 2.5812,                 2.6721,                0.22299,                0.24719,                0.17174,                0.05964,                  2.311,                 2.5944,                 2.8706,                0.00137,                0.00137,                0.00137
                     38,                 2.1084,                 2.5376,                 2.6745,                 0.3099,                0.29213,                0.26487,                0.09362,                 2.2249,                  2.431,                 2.7705,               0.001352,               0.001352,               0.001352
                     39,                 2.1066,                 2.4435,                 2.6084,                0.21292,                0.34831,                0.14349,                 0.0429,                 2.3628,                 2.9018,                 2.8885,               0.001334,               0.001334,               0.001334
                     40,                 2.1486,                  2.469,                 2.6347,                0.26437,                0.33114,                0.22463,                0.08077,                 2.2425,                 2.6172,                 2.7718,               0.001316,               0.001316,               0.001316
                     41,                 2.0915,                 2.3384,                 2.6027,                0.28109,                0.34831,                0.22358,                0.07772,                 2.2173,                 2.5797,                 2.7792,               0.001298,               0.001298,               0.001298
                     42,                 2.0704,                 2.4563,                 2.5863,                0.19492,                0.33708,                0.13113,                0.04019,                 2.2582,                 2.8428,                 2.8362,                0.00128,                0.00128,                0.00128
                     43,                 2.0574,                 2.4628,                 2.5888,                0.37772,                0.37513,                0.29765,                 0.1287,                 2.1264,                 2.4359,                 2.7766,               0.001262,               0.001262,               0.001262
                     44,                 2.0566,                 2.3812,                 2.5415,                0.43647,                0.39326,                0.29546,                0.10212,                 2.1482,                 2.5292,                 2.7475,               0.001244,               0.001244,               0.001244
                     45,                 2.0051,                 2.4048,                 2.5237,                 0.3384,                0.40449,                0.30565,                 0.1074,                 2.2491,                 2.4421,                  2.887,               0.001226,               0.001226,               0.001226
                     46,                 1.9993,                 2.3419,                 2.5681,                0.46152,                0.32584,                0.31941,                0.10347,                 2.1545,                 2.4705,                 2.7198,               0.001208,               0.001208,               0.001208
                     47,                 2.0021,                 2.3329,                 2.5093,                0.39951,                0.34831,                0.32611,                0.13588,                 2.1216,                 2.4157,                 2.7092,                0.00119,                0.00119,                0.00119
                     48,                 1.9974,                 2.3904,                 2.5261,                 0.2446,                0.33708,                0.19785,                0.06651,                 2.2288,                 2.8013,                 2.8019,               0.001172,               0.001172,               0.001172
                     49,                 1.9896,                 2.3607,                 2.5431,                0.34635,                0.37079,                0.34638,                0.13747,                 2.1087,                 2.4847,                 2.7168,               0.001154,               0.001154,               0.001154
                     50,                 1.9519,                 2.3121,                 2.4595,                0.45168,                0.42577,                0.40361,                0.14668,                 2.0743,                 2.2616,                 2.6758,               0.001136,               0.001136,               0.001136
                     51,                 1.9284,                 2.2322,                 2.4633,                0.24556,                0.23407,                0.16956,                0.06733,                 2.1611,                 3.2233,                 2.7958,               0.001118,               0.001118,               0.001118
                     52,                 1.9804,                 2.2163,                 2.4661,                0.44333,                0.38202,                0.39972,                0.14162,                 2.1301,                 2.3697,                  2.737,                 0.0011,                 0.0011,                 0.0011
                     53,                 1.9361,                 2.2311,                 2.4499,                0.38847,                0.39326,                0.34116,                0.12235,                 2.0799,                 2.3713,                 2.6789,               0.001082,               0.001082,               0.001082
                     54,                 1.9415,                 2.2232,                 2.4647,                0.42427,                0.42232,                0.36986,                0.12344,                 2.0691,                 2.3739,                 2.6599,               0.001064,               0.001064,               0.001064
                     55,                  1.982,                 2.2316,                 2.4671,                0.36254,                0.44944,                0.34091,                0.13259,                 2.1476,                  2.381,                 2.7228,               0.001046,               0.001046,               0.001046
                     56,                 1.8674,                 2.1838,                 2.3938,                0.45815,                0.33708,                0.35554,                0.13053,                 2.1128,                 2.3247,                 2.6742,               0.001028,               0.001028,               0.001028
                     57,                  1.944,                 2.1879,                  2.428,                0.50727,                0.37079,                0.41556,                0.17059,                  2.022,                  2.362,                 2.6568,                0.00101,                0.00101,                0.00101
                     58,                 1.9046,                 2.1786,                 2.3682,                0.40108,                0.36118,                0.35518,                0.13521,                 2.0769,                 2.3949,                 2.6949,               0.000992,               0.000992,               0.000992
                     59,                 1.9154,                 2.1607,                 2.4583,                0.36699,                0.47191,                0.39208,                0.14352,                 2.0836,                 2.3003,                  2.691,               0.000974,               0.000974,               0.000974
                     60,                 1.9089,                 2.1141,                 2.4055,                0.37247,                 0.5202,                0.40809,                0.17357,                 2.0182,                 2.2157,                 2.6245,               0.000956,               0.000956,               0.000956
                     61,                 1.8703,                 2.1099,                 2.3913,                0.52099,                 0.4382,                0.47203,                0.18653,                 1.9598,                 2.1525,                 2.5505,               0.000938,               0.000938,               0.000938
                     62,                 1.8921,                 2.0861,                  2.394,                0.53518,                0.48315,                0.47468,                0.18093,                 2.0299,                 2.1307,                 2.5844,                0.00092,                0.00092,                0.00092
                     63,                 1.8788,                 2.1106,                 2.3894,                0.52854,                0.34831,                0.41928,                0.17665,                  1.937,                 2.2556,                 2.5315,               0.000902,               0.000902,               0.000902
                     64,                 1.8618,                 2.1143,                 2.3838,                0.58881,                 0.4382,                0.44559,                 0.1853,                 1.9349,                 2.1894,                 2.5128,               0.000884,               0.000884,               0.000884
                     65,                  1.823,                 2.0685,                 2.3089,                 0.4148,                0.42214,                0.37289,                 0.1264,                 2.0595,                 2.5429,                 2.6266,               0.000866,               0.000866,               0.000866
                     66,                 1.8201,                 1.9833,                  2.288,                0.45892,                0.50562,                0.47378,                0.17729,                 1.9868,                 2.2691,                 2.5362,               0.000848,               0.000848,               0.000848
