                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.859,                 2.2517,                 2.4025,                0.46158,                0.42601,                0.48843,                0.22041,                 1.8096,                 2.3242,                 2.5264,              0.0011272,              0.0011272,              0.0011272
                     35,                 1.8586,                 2.2386,                 2.4074,                0.46526,                0.55934,                0.49029,                0.24473,                 1.7346,                 2.4978,                  2.499,              0.0011178,              0.0011178,              0.0011178
                     36,                 1.8526,                 2.2309,                  2.377,                0.72004,                0.44926,                0.53886,                0.28328,                 1.6814,                  2.104,                 2.4547,              0.0011083,              0.0011083,              0.0011083
                     37,                 1.8247,                  2.202,                 2.3394,                0.35523,                0.50169,                0.39684,                0.21277,                  1.689,                 2.2944,                 2.4137,              0.0010989,              0.0010989,              0.0010989
                     38,                 1.8479,                 2.1789,                 2.3653,                0.61505,                0.43097,                 0.3913,                0.20552,                 1.7338,                 2.2868,                 2.4194,              0.0010895,              0.0010895,              0.0010895
                     39,                 1.7313,                 2.0801,                 2.2565,                0.47952,                0.62312,                0.57344,                0.29991,                 1.6361,                 2.3419,                 2.2906,                0.00108,                0.00108,                0.00108
                     40,                 1.7449,                 2.0771,                 2.2761,                0.67398,                0.43314,                0.52549,                0.30334,                 1.6024,                 2.5348,                 2.2922,              0.0010706,              0.0010706,              0.0010706
                     41,                 1.7928,                 2.0387,                 2.2557,                0.50079,                0.54272,                0.49452,                0.26888,                 1.7069,                 2.1846,                 2.3596,              0.0010612,              0.0010612,              0.0010612
                     42,                 1.7635,                 2.0278,                 2.2318,                0.56041,                0.58879,                0.65516,                 0.3147,                 1.8947,                 1.8897,                 2.4475,              0.0010517,              0.0010517,              0.0010517
                     43,                 1.7631,                 2.0904,                 2.2576,                0.61711,                0.46878,                0.56317,                0.28968,                 1.6018,                 2.4777,                 2.3407,              0.0010423,              0.0010423,              0.0010423
                     44,                 1.7055,                 1.9716,                  2.217,                0.56396,                0.68878,                0.71212,                0.35945,                 1.4775,                 1.9805,                 2.2022,              0.0010329,              0.0010329,              0.0010329
                     45,                 1.6803,                 1.9825,                 2.1969,                0.58681,                0.63226,                0.65525,                 0.3572,                 1.4418,                 1.8293,                 2.2039,              0.0010234,              0.0010234,              0.0010234
                     46,                 1.7261,                 1.9953,                 2.2543,                0.50667,                 0.3251,                0.36135,                0.18611,                 1.6267,                 3.1492,                 2.4795,               0.001014,               0.001014,               0.001014
                     47,                 1.6627,                 2.0021,                 2.1534,                0.74872,                0.57021,                0.70571,                0.43286,                 1.4579,                 1.8317,                  2.188,              0.0010046,              0.0010046,              0.0010046
                     48,                 1.6836,                 1.9111,                 2.1856,                0.71858,                0.59384,                0.67071,                0.34754,                 1.6084,                 1.9593,                 2.2394,             0.00099516,             0.00099516,             0.00099516
                     49,                 1.7157,                 1.9736,                 2.1765,                 0.5806,                0.60623,                0.65791,                0.37306,                 1.5796,                 1.9696,                 2.2314,             0.00098572,             0.00098572,             0.00098572
                     50,                 1.6374,                 1.9158,                 2.1238,                0.67039,                0.60396,                0.66084,                 0.3341,                 1.6551,                 1.9244,                  2.324,             0.00097629,             0.00097629,             0.00097629
                     51,                 1.6838,                 1.9808,                 2.1979,                0.65836,                0.68326,                0.69739,                0.43125,                 1.3179,                 1.6168,                 2.0402,             0.00096686,             0.00096686,             0.00096686
                     52,                 1.7108,                 1.9348,                  2.161,                0.68725,                0.66636,                0.72817,                0.44078,                 1.3813,                 1.5671,                 2.1362,             0.00095743,             0.00095743,             0.00095743
                     53,                  1.579,                 1.8084,                 2.0786,                0.66496,                 0.5827,                 0.5968,                0.35886,                 1.4224,                 1.6699,                 2.1441,               0.000948,               0.000948,               0.000948
                     54,                 1.6213,                 1.8597,                 2.1054,                0.78164,                0.53512,                0.67147,                0.40688,                 1.4305,                 1.7626,                 2.1951,             0.00093857,             0.00093857,             0.00093857
                     55,                 1.6076,                 1.8276,                 2.1143,                 0.6661,                0.69784,                0.75048,                0.42764,                 1.5685,                 1.7251,                 2.2005,             0.00092914,             0.00092914,             0.00092914
                     56,                 1.5785,                 1.8128,                 2.0734,                0.52677,                0.70327,                0.70258,                0.42757,                 1.4547,                 1.7131,                 2.2065,              0.0009197,              0.0009197,              0.0009197
                     57,                 1.5898,                 1.7691,                 2.0796,                0.70828,                0.47748,                0.56689,                0.33864,                 1.4742,                 2.1974,                 2.1889,             0.00091027,             0.00091027,             0.00091027
                     58,                 1.6269,                 1.7858,                 2.0866,                0.68485,                0.56347,                0.68359,                0.44847,                 1.3115,                 1.9821,                 2.0748,             0.00090084,             0.00090084,             0.00090084
                     59,                 1.6057,                 1.7905,                 2.0898,                0.81811,                0.59122,                0.77553,                0.53047,                 1.3751,                 1.5251,                 2.0711,             0.00089141,             0.00089141,             0.00089141
                     60,                 1.5245,                  1.748,                 2.0207,                0.69845,                0.66995,                0.74507,                0.48077,                 1.3462,                 1.6756,                 2.1152,             0.00088198,             0.00088198,             0.00088198
                     61,                 1.4986,                 1.6718,                 2.0067,                0.78803,                0.63929,                0.75831,                0.45949,                 1.3873,                 1.6828,                  2.152,             0.00087255,             0.00087255,             0.00087255
                     62,                 1.6312,                 1.7466,                 2.0703,                0.84925,                0.66992,                0.80752,                0.51464,                 1.4126,                 1.3962,                 2.0708,             0.00086312,             0.00086312,             0.00086312
